GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
3,BG,Malus fusca,WILD,Canada,"Grant Road, Courtenay",49.632479,-124.998622,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Grant Road, Courtenay",49.632479,-124.998622,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Grant Road, Courtenay",49.632479,-124.998622,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Malus fusca,WILD,Canada,"Texada Island, Blubber Bay Road",49.45521,-124.34272,British Columbia,
3,BG,Vaccinium macrocarpon  ,WILD,Canada,"Richmond, north west of Queensborough along railway tracks and surrounding area",49.166667,-123.166667,British Columbia,
2,BG,Vaccinium macrocarpon  ,U,,,,NA,,3
2,BG,Vaccinium macrocarpon  ,W,Canada,Farnham. s.n. 1 Jul 1971.,45.278281,-72.978348,Quebec,mass
2,BG,Vaccinium macrocarpon  ,G,,,,NA,,15
2,BG,Vaccinium macrocarpon  ,G,,,,NA,,2
2,BG,Vaccinium macrocarpon  ,G,,,,NA,,mass
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Québec: Mont Saint-Pierre. Nicole Vanier et Stéphane Dumas s.n. 3 Jun 2008.,49.199188,-65.796626,Quebec,1
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Québec: Mont Saint-Pierre. Nicole Vanier et Stéphane Dumas s.n. 3 Jun 2008.,49.199188,-65.796626,Quebec,1
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Québec: Mont Saint-Pierre. Nicole Vanier et Stéphane Dumas s.n. 3 Jun 2008.,49.199188,-65.796626,Quebec,1
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Ontario.,43.628513,-80.823242,Ontario,1
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Ontario.,43.628513,-80.823242,Ontario,1
2,BG,Prunus pumila var. depressa,W,Canada,Canada: Ontario.,43.628513,-80.823242,Ontario,2
2,BG,Prunus pumila var. depressa,W,Canada,"Canada: Québec: MRC La Haute-Gaspésie: Mont-Saint-Pierre, mont Saint-Pierre. Affleurement rocheux, éboulis, gravier exposé - calcaire. ca 22 m. 49°13'35.91""N, 65°47'30.95""W. Dumas, S. s.n. 15 Oct 2011.",49.199188,-65.796626,Quebec,2
2,BG,Prunus pumila var. susquehanae,W,Canada,"Canada: Québec: Île aux Allumettes, au sud du lac Cranson. Pinède grise. 122 m. 45°48'37.87""N, 76°58'22.89""W. Bailleul, S.M.; Coursol, F.; Blais, P. s.n. 7 Sep 2014.",45.4837,-76.58,Quebec,3
